17:13:28		Time		Host ID			VM ID		DC ID		Owner ID		Reason
17:13:28	   4226,31		#13				#16			#18			#32				success
17:13:28	   4227,41		#1				#17			#2			#33				success
17:13:29	   4227,41		#1				#18			#2			#33				success
17:13:29	   4227,41		#1				#19			#2			#33				success
17:13:29	  86596,65		#13				#0			#18			#24				success
17:13:29	  86597,75		#1				#1			#2			#25				success
17:13:29	  86597,75		#1				#2			#2			#25				success
17:13:29	  86597,75		#1				#3			#2			#25				failed by RAM
17:13:29	  86597,85		#3				#3			#4			#25				success
17:13:30	 133979,17		#1				#17			#2			#33				destroy
17:13:30	 133979,17		#1				#18			#2			#33				destroy
17:13:30	 133979,17		#1				#19			#2			#33				destroy
17:13:30	 133979,17		#13				#16			#18			#32				destroy
17:13:30	 208213,05		#17				#4			#22			#26				success
17:13:30	 208214,15		#1				#5			#2			#27				success
17:13:30	 208214,15		#1				#6			#2			#27				success
17:13:30	 208214,15		#1				#7			#2			#27				success
17:13:34	1196671,11		#17				#8			#22			#28				success
17:13:34	1196672,21		#1				#9			#2			#29				success
17:13:34	1196672,21		#1				#10			#2			#29				success
17:13:34	1196672,21		#1				#11			#2			#29				success
17:13:36	1445458,31		#1				#5			#2			#27				destroy
17:13:36	1445458,31		#1				#6			#2			#27				destroy
17:13:36	1445458,31		#1				#7			#2			#27				destroy
17:13:36	1445458,31		#17				#4			#22			#26				destroy
17:13:36	1496583,00		#13				#12			#18			#30				success
17:13:36	1496584,10		#1				#13			#2			#31				success
17:13:36	1496584,10		#1				#14			#2			#31				success
17:13:36	1496584,10		#1				#15			#2			#31				success
